"","F238","F256","F262","F175","FB78","F146","F198","F142","F276","1651","CTS4","F165","F246","RTM4","F237","F239","F153","FB15","F236","F284","FB02","FB27","BOXR","F164","F242","F258","FB20","ULYS","F209","F159","F233","F222","F220","F228","C114","F179","FB11","F187","F197","F243","F270","F280","FB90","1092","1316","F109","F131","1231","F123","F199","F266","F254","FB44","F110","SOLB","WLET","C258","C935","F221","F252","FB25","F108","F194","SCSM","LNLD","STE1","TNBP","F264","F196","F268","ORNG","F234","F247","1315","FB10","FB66","1753","F278","FB07","C548","C655","FB54","FB65","PSDQ","1253","F125","F148","HOV2","HOVC","1511","F151","F126","F162","F227","F272","F138","F213","F241","F133","F245","HAIR","HLP4","F135","C555","F282","FB33","FB55","F128","FB92","F173","F250","F137","F235","C874","FB87","B053","F224","RTM5","RTMW","1494","DAB1","DABL","PSC3","F205","MPTB","RY34","BRD3","C798","FB79","F207","C835","DAFT","F248","JOSC","FB28","C911","F217","TDTC","ULY2","1673","1711","AMV1","AMVM","F167","F171","LNL1","FB35","SCS1","HWK3","IKN2","4C4C","HBM3","HBMB","F190","HOVA","ZELD","ZEL2","2253","F223","F225","LNCC","WENT","F113","F274","F178","F188","NIP2","BIK2","BIKO","MTBG","MUC4","MUCH","2193","F219","1495","F149","F229","LNPF","2151","F215","F232","F155","PSC6","F211","AMTS","PRST","TKID","C834","F182","F154","F102","HIQQ","SCS2","CMRS","LNC2","LNPC","ULY3","MLVN","JETY","F240","1414","C912","C991","F141","F176","F185","HITS","1134","1317","FRN3","FRNG","HSN4","HSNS","F114","1454","LIZ1","STEW","MORN","GRGO","HSN3","B207","OIEA","PRF2","YOKE","ZEDC","1992","BKHO","BNST","PHL2","CATW","LIZD","PRFR","MJM2","F158","F231","1791","2091","4NIC","BNDS","BTWO","CASA","CENT","HAAK","HVT1","HVTI","J001","NIGT","PMTI","BUBB","GPHK","VCRO","BOO3","BOOT","PNB3","PNBT","UND2","UNDG","VSTH","YANK","RTM3","JPJK","GADG","PFYT","PIHI","RNMK","HVMS","CW32","CWM3","HBM4","MANT","HMLC","BBLN","HOKA","TRIM","1593","DAB2","C330","PSC5","TCT1","1456","F180","HMLT","M145","MEAD","MIDF","MTSS","Q5LA","BLNK","HLPC","B023","LDM3","SIMP","TDTL","2152","2194","SGL1","ATMM","BASH","GRW2","B531","1496","FZJS","NYDT","TCTV","2231","CL-4942","ENM2","LBHL","R27L","MORB","NKAL","SQBT","LYFN","TRIF","1674","KNNN","F193","BRAN","BRN1","NADW","MFLC","GUPN","MM72","LWHP","RTM2","GRWW","JBAK","WLDC","RCNM","DAIN","1556","F249","BBRD","L108","PHIL","FFCH","SPEG","CRUM","LLLN","SNOT","BARE","NEWT","OCTV","LCKL","WRTH","QECD","WTKN"
"1495",26,30,30,56,39,50,29,40,38,23,9,24,39,17,24,24,24,26,27,35,26,34,23,32,34,35,37,13,42,53,43,43,18,32,43,76,43,54,59,58,37,52,37,40,44,46,58,57,57,34,45,22,22,22,19,12,36,27,32,31,36,13,11,13,25,12,10,24,38,38,10,22,55,34,28,15,30,30,30,62,48,63,48,12,32,32,54,10,9,36,35,15,15,31,35,60,56,46,48,49,22,23,49,59,48,58,58,35,33,41,44,42,29,19,19,20,12,12,13,11,14,20,8,16,20,25,9,25,27,39,19,10,17,7,15,22,24,23,17,20,11,21,24,21,15,20,16,26,21,14,16,9,11,11,9,10,11,15,14,13,19,17,40,31,33,33,12,12,12,13,12,12,17,15,0,3,28,14,30,53,27,50,10,28,10,10,10,30,29,10,14,14,20,19,15,15,11,13,11,11,11,15,16,11,24,8,17,38,51,34,34,11,11,14,9,8,9,9,16,9,10,11,12,9,10,26,12,8,8,7,9,7,9,9,7,39,31,7,7,9,8,11,7,12,13,8,10,9,10,8,8,9,9,10,10,9,10,9,10,13,9,7,10,9,9,8,11,11,10,9,8,7,7,8,33,15,38,8,12,11,7,9,11,7,7,7,7,8,11,12,11,9,18,41,12,8,9,9,8,14,5,10,12,10,12,10,7,7,8,7,8,7,8,8,12,7,10,13,13,10,8,8,7,7,9,8,7,7,7,7,15,7,9,8,9,7,9,8,7,7,7,8,7,7,7,7,7
"F149",27,31,31,57,40,51,30,41,39,24,10,25,40,18,21,21,25,27,28,36,27,35,20,31,33,36,38,14,43,54,44,44,19,33,44,77,44,55,60,59,38,53,38,41,45,47,59,58,58,35,46,23,23,23,20,13,37,28,33,32,37,14,12,14,26,13,11,25,39,39,11,23,56,35,29,16,31,31,31,63,49,64,49,13,33,33,55,11,10,37,36,16,16,32,36,61,57,47,49,50,19,20,50,60,49,59,59,36,34,42,45,43,30,20,20,17,13,13,14,8,15,17,9,17,21,26,10,26,28,40,20,11,18,8,16,21,25,22,16,21,12,22,25,22,16,21,17,27,18,15,17,10,12,12,10,11,12,16,15,14,18,14,41,32,34,34,13,13,13,14,13,13,18,16,3,0,29,15,31,54,28,51,11,29,11,11,11,31,30,11,15,15,21,16,14,14,12,14,12,10,12,16,17,12,25,9,14,39,52,35,35,12,12,15,10,9,10,10,17,10,11,12,13,10,11,27,13,9,9,8,10,8,10,10,8,40,32,8,8,10,9,12,8,13,14,9,11,10,11,9,9,10,10,11,11,10,11,10,11,12,10,8,11,10,10,9,12,12,11,10,9,8,8,9,34,12,39,9,13,12,8,10,12,8,8,8,8,9,12,13,10,10,19,42,13,9,10,10,9,11,2,11,13,11,13,11,8,8,9,8,9,8,7,9,13,8,11,14,14,11,9,9,8,8,10,9,8,8,8,8,16,8,10,9,10,8,10,9,8,8,8,9,8,8,8,8,8
"F229",42,46,46,72,55,64,43,56,54,39,25,40,55,33,42,42,40,42,43,51,42,50,39,48,50,51,53,29,56,67,59,59,34,48,59,92,59,64,75,74,53,64,53,56,60,62,70,69,69,50,61,38,38,38,35,28,52,43,48,47,52,29,27,29,41,28,26,40,54,54,26,38,71,50,44,31,46,46,46,70,64,71,64,28,48,48,70,26,25,52,51,31,31,47,51,74,68,62,64,65,38,39,61,69,64,68,68,51,49,55,60,56,47,35,35,36,28,28,29,33,30,38,24,32,36,41,25,41,43,55,35,26,33,23,31,38,40,39,33,36,27,37,40,37,31,36,32,42,39,30,32,25,27,27,25,26,27,33,32,31,37,33,56,47,47,47,28,28,28,29,28,28,33,31,28,29,0,30,46,67,43,60,26,44,26,26,26,46,45,26,30,30,36,35,31,31,27,29,27,27,27,31,32,27,42,24,33,54,63,48,48,27,27,30,25,24,25,25,32,25,26,27,28,25,26,42,28,24,24,23,25,23,25,25,23,55,45,23,23,25,24,27,23,28,29,24,26,25,26,24,24,25,25,26,26,25,26,25,26,29,25,23,26,25,25,24,27,27,26,25,24,23,23,24,47,33,48,24,28,27,23,25,27,23,23,23,23,24,27,28,27,25,34,55,28,24,25,25,24,30,27,26,28,26,30,26,23,23,24,23,24,23,24,24,28,23,26,29,29,26,24,24,23,23,25,24,23,23,23,23,29,23,25,24,25,23,25,24,23,23,23,24,23,23,23,23,23
"LNPF",28,32,32,58,41,52,31,42,40,25,11,26,41,19,28,28,26,28,29,37,28,36,25,34,36,37,39,13,44,55,45,45,18,32,45,78,45,56,61,60,39,54,39,42,46,48,60,59,59,36,47,24,24,24,21,14,38,29,34,33,38,15,13,15,27,14,12,26,40,40,12,24,57,36,30,17,32,32,32,64,50,65,50,14,34,34,54,12,11,36,35,11,11,33,37,62,58,48,50,51,22,23,51,61,50,60,60,37,35,43,46,44,33,21,21,22,14,14,15,19,16,24,10,18,22,27,11,27,29,41,21,12,19,9,17,22,22,23,17,22,13,23,26,23,17,22,18,28,25,16,18,11,13,13,11,12,13,15,14,13,17,19,42,33,35,35,14,14,14,15,14,14,19,17,14,15,30,0,32,55,29,52,12,30,12,12,12,32,31,12,16,16,22,13,7,7,11,15,13,13,11,15,16,11,26,8,13,40,53,36,36,13,13,16,11,10,11,11,18,11,12,13,14,11,12,28,14,10,10,9,11,9,11,11,9,41,33,9,9,11,10,13,9,14,15,10,12,11,12,10,10,11,11,12,12,11,12,11,10,15,11,9,12,11,11,10,13,13,12,11,10,9,9,10,35,19,40,10,14,13,9,11,13,9,9,9,9,10,13,12,11,9,18,43,14,10,11,11,10,16,13,12,14,12,14,12,9,9,10,9,10,9,10,10,14,9,12,15,15,12,10,10,9,9,11,10,9,9,9,9,17,9,11,10,11,9,11,10,9,9,9,10,9,9,9,9,9
"2151",44,48,48,74,57,68,47,58,56,41,27,42,57,35,44,44,42,44,45,53,44,52,41,48,52,53,55,31,60,71,61,61,36,50,61,94,61,72,77,76,55,70,55,58,62,64,76,75,75,52,63,40,40,40,37,30,54,45,50,49,54,31,29,31,43,30,28,42,56,56,28,40,73,52,46,33,48,48,48,80,66,81,66,30,50,50,70,26,25,52,51,33,33,49,53,78,74,64,66,67,40,41,67,77,66,76,76,53,51,59,62,60,49,37,37,38,30,28,29,33,30,40,26,34,38,43,27,43,45,57,37,28,35,25,33,40,42,41,35,38,29,39,42,39,33,38,34,44,41,32,34,27,29,29,27,28,29,33,32,33,39,35,58,49,51,51,30,30,30,31,30,30,35,33,30,31,46,32,0,45,45,68,28,46,28,28,28,48,47,28,32,32,38,37,33,33,29,31,29,29,29,33,34,29,44,26,35,56,69,52,52,29,29,32,27,26,27,27,34,27,28,29,30,27,28,44,30,26,26,25,27,25,27,27,25,57,49,25,25,27,26,29,25,30,31,26,28,27,28,26,26,27,27,28,28,27,28,27,28,29,27,25,28,27,27,26,29,29,28,27,26,25,25,26,51,35,56,26,30,29,25,27,29,25,25,25,25,26,29,30,29,27,36,51,30,26,27,27,26,32,29,28,30,28,30,28,25,25,26,25,26,25,26,26,30,25,28,31,31,28,26,26,25,25,27,26,25,25,25,25,33,25,27,26,27,25,27,26,25,25,25,26,25,25,25,25,25
"F215",67,71,71,95,80,89,70,81,79,64,50,65,80,58,67,67,65,67,68,76,67,75,64,61,65,76,78,54,81,92,84,76,59,73,82,113,82,91,98,97,78,89,78,81,85,87,91,94,94,75,86,63,63,63,60,53,77,68,73,72,77,54,52,54,66,53,51,65,79,79,51,63,94,75,69,56,71,71,71,97,89,98,89,53,73,73,87,51,50,71,70,56,56,72,76,95,89,87,89,90,63,64,80,92,89,91,91,74,72,80,85,81,72,60,60,61,53,51,52,56,55,63,49,57,61,66,50,66,68,80,60,51,58,48,56,63,61,64,58,61,52,62,65,62,56,61,57,67,64,55,57,50,52,52,50,51,52,58,57,56,62,58,77,72,72,72,53,53,53,54,53,53,58,56,53,54,67,55,45,0,68,89,51,69,51,51,51,71,70,51,55,55,61,60,56,56,52,54,52,52,52,54,55,52,67,49,58,75,84,71,71,52,52,55,50,49,50,50,57,50,51,52,53,50,51,67,53,49,49,48,50,48,50,50,48,76,70,48,48,50,49,52,48,53,54,49,51,50,51,49,49,50,50,51,51,50,51,50,51,52,50,48,51,50,50,49,52,52,51,50,49,48,48,49,72,58,69,49,53,52,48,50,52,48,48,48,48,49,52,53,52,50,59,12,53,49,50,50,49,55,52,51,53,51,55,51,48,48,49,48,49,48,49,49,53,48,51,54,54,51,49,49,48,48,50,49,48,48,48,48,56,48,50,49,50,48,50,49,48,48,48,49,48,48,48,48,48
"F232",39,41,43,71,54,65,44,55,53,38,24,39,44,32,41,41,39,41,42,50,41,49,38,45,47,50,52,28,57,66,56,58,33,47,58,91,58,65,70,69,48,65,48,47,59,51,71,72,72,49,56,37,37,35,32,27,51,42,47,46,51,28,26,28,40,27,25,39,53,53,25,35,70,45,41,28,43,45,45,77,63,78,63,27,47,47,69,25,24,51,50,30,30,42,46,75,71,59,63,64,37,38,64,74,63,73,73,48,46,46,51,57,46,34,34,35,27,27,28,32,29,37,23,31,35,40,24,40,42,50,34,25,32,22,30,37,39,38,32,35,26,36,39,36,30,35,31,41,38,29,29,24,26,26,24,25,26,32,31,30,36,32,55,46,48,48,27,27,27,28,27,27,32,30,27,28,43,29,45,68,0,65,25,43,25,25,25,45,44,25,29,29,35,34,30,30,26,28,26,26,26,30,31,26,39,23,32,53,64,49,49,26,26,29,24,23,24,24,31,24,25,26,27,24,25,41,27,23,23,22,24,22,24,24,22,54,46,22,22,24,23,26,22,27,28,23,25,24,25,23,23,24,24,25,25,24,25,24,25,28,24,22,25,24,24,23,26,26,25,24,23,22,22,23,46,32,53,23,27,26,22,24,26,22,22,22,22,23,26,27,26,24,33,56,27,23,24,24,23,29,26,25,27,25,29,25,22,22,23,22,23,22,23,23,27,22,25,28,28,25,23,23,22,22,24,23,22,22,22,22,30,22,24,23,24,22,24,23,22,22,22,23,22,22,22,22,22
"F155",62,68,68,88,77,84,63,76,76,61,47,62,75,55,64,64,60,64,65,73,64,72,61,70,72,73,75,51,70,89,79,75,56,70,75,104,75,82,95,94,69,90,69,78,78,84,86,89,89,68,77,58,58,58,57,50,72,65,68,69,72,51,49,51,63,50,48,62,72,72,48,60,87,72,66,53,66,68,68,90,86,91,86,50,70,70,86,48,47,72,71,53,53,63,71,66,92,82,84,85,60,61,65,83,78,68,82,71,65,73,78,66,63,57,57,58,50,50,51,55,52,60,46,54,58,63,47,63,65,75,57,48,55,45,53,60,62,61,55,58,49,59,62,59,53,58,54,64,61,52,54,47,49,49,47,48,49,55,54,53,59,55,74,67,71,71,50,50,50,51,50,50,55,53,50,51,60,52,68,89,65,0,48,62,48,48,48,66,65,48,52,52,58,57,53,53,49,51,49,49,49,53,54,49,62,46,55,72,81,66,66,49,49,52,47,46,47,47,54,47,48,49,50,47,48,64,50,46,46,45,47,45,47,47,45,69,61,45,45,47,46,49,45,50,51,46,48,47,48,46,46,47,47,48,48,47,48,47,48,51,47,45,48,47,47,46,49,49,48,47,46,45,45,46,69,55,56,46,50,49,45,47,49,45,45,45,45,46,49,50,49,47,54,77,50,46,47,47,46,52,49,48,50,48,52,48,45,45,46,45,46,45,46,46,50,45,48,51,51,48,46,46,45,45,47,46,45,45,45,45,35,45,47,46,47,45,47,46,45,45,45,46,45,45,45,45,45
"PSC6",24,28,28,54,37,48,27,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,30,32,33,35,11,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,11,23,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,44,61,44,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,12,7,9,9,7,8,9,15,14,13,19,15,38,29,31,31,10,8,8,11,10,10,11,11,10,11,26,12,28,51,25,48,0,26,8,8,8,28,27,8,12,12,18,17,13,13,9,11,9,9,9,13,14,9,24,6,15,36,49,32,32,9,9,12,5,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,8,6,6,7,7,8,8,7,8,7,8,11,7,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,5,7,6,5,5,7,6,5,5,5,6,5,5,5,5,5
"F211",40,46,46,70,53,66,45,46,44,39,25,40,55,33,42,42,36,40,41,51,40,50,39,48,50,51,53,29,58,69,59,59,34,48,59,92,59,70,75,74,53,68,53,56,60,62,70,73,73,44,59,38,38,38,35,28,50,43,46,47,50,29,27,29,41,28,26,40,52,52,26,36,69,50,44,31,44,46,46,78,64,79,64,28,48,48,70,26,25,50,49,31,31,47,51,76,72,62,64,65,38,39,65,75,64,74,74,51,49,57,60,56,47,35,35,36,28,28,29,33,30,38,24,32,30,35,25,39,41,51,35,26,33,23,31,38,40,39,33,36,27,37,40,37,31,36,32,42,39,30,32,25,27,27,25,26,27,33,32,31,37,33,56,47,47,47,28,28,28,29,28,28,33,31,28,29,44,30,46,69,43,62,26,0,26,26,26,42,41,26,30,30,36,35,31,31,27,29,27,27,27,31,32,27,42,24,33,54,65,50,50,27,27,30,25,24,25,25,32,25,26,27,28,25,26,40,28,24,24,23,25,23,25,25,23,55,47,23,23,25,24,27,23,28,29,24,26,25,26,24,24,25,25,26,26,25,26,25,26,29,25,23,26,25,25,24,27,27,26,25,24,23,23,24,49,33,54,24,28,27,23,25,27,23,23,23,23,24,27,28,27,25,34,57,28,24,25,25,24,30,27,26,28,26,30,26,23,23,24,23,24,23,24,22,28,21,26,29,29,26,24,24,23,23,25,24,23,23,23,23,31,23,25,24,25,23,25,24,23,23,23,24,23,23,23,23,23
"AMTS",24,28,28,54,37,48,27,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,30,32,33,35,11,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,9,21,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,16,7,19,22,17,11,16,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,38,29,31,31,10,10,10,9,10,10,15,13,10,11,26,12,28,51,25,48,8,26,0,0,2,28,27,8,12,12,18,17,13,13,9,9,7,9,9,13,14,9,24,6,15,36,49,32,32,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,3,3,5,4,7,3,6,7,2,4,3,8,6,6,7,7,8,8,7,8,7,8,11,5,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,4,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"PRST",24,28,28,54,37,48,27,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,30,32,33,35,11,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,9,21,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,16,7,19,22,17,11,16,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,38,29,31,31,10,10,10,9,10,10,15,13,10,11,26,12,28,51,25,48,8,26,0,0,2,28,27,8,12,12,18,17,13,13,9,9,7,9,9,13,14,9,24,6,15,36,49,32,32,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,3,3,5,4,7,3,6,7,2,4,3,8,6,6,7,7,8,8,7,8,7,8,11,5,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,4,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"TKID",24,28,28,54,37,48,27,38,36,21,7,22,37,15,24,24,22,24,25,33,24,32,21,30,32,33,35,11,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,9,21,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,16,7,19,22,17,11,16,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,38,29,31,31,10,10,10,9,8,8,15,13,10,11,26,12,28,51,25,48,8,26,2,2,0,28,27,8,12,12,18,17,13,13,9,9,7,9,9,13,14,9,24,6,15,36,49,32,32,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,8,6,6,5,7,5,7,7,5,37,29,3,3,5,4,7,3,4,5,2,2,3,8,6,6,7,7,8,8,7,8,7,8,11,5,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,6,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,4,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"C834",44,48,48,70,57,68,47,46,44,41,27,42,57,35,36,36,42,44,19,53,20,52,37,48,50,27,27,31,60,71,61,61,36,50,61,90,61,72,75,74,55,70,55,56,62,60,74,75,75,50,59,40,40,40,37,30,52,45,48,49,52,31,29,31,43,30,28,42,48,48,28,38,69,52,46,33,46,46,46,80,56,81,56,30,48,48,72,28,27,54,53,33,33,49,53,76,74,64,66,67,40,41,59,77,66,76,76,53,51,59,62,60,49,35,35,38,30,30,31,35,32,40,26,34,38,43,27,43,45,53,35,28,33,25,33,40,42,41,35,38,29,39,42,37,29,38,34,44,35,30,32,27,29,29,27,28,25,35,34,33,39,35,56,49,49,49,30,22,22,31,30,30,35,33,30,31,46,32,48,71,45,66,28,42,28,28,28,0,1,28,32,32,38,37,33,33,29,31,29,29,29,33,34,29,44,26,35,54,69,52,52,29,29,30,27,26,27,27,34,27,28,29,30,27,28,44,30,26,26,25,27,25,27,27,25,57,49,25,25,27,26,29,25,30,31,26,28,27,28,26,26,27,27,28,28,27,28,27,28,31,27,25,28,27,27,26,29,29,28,27,26,25,25,26,51,35,56,26,30,29,25,27,29,25,25,25,25,26,29,30,29,27,36,59,30,26,27,27,26,32,29,28,30,28,32,28,25,25,26,25,26,25,26,22,28,23,28,25,25,28,26,26,25,25,27,26,25,25,25,25,33,25,27,26,23,25,27,26,25,25,25,26,25,25,25,25,25
"F182",43,47,47,69,56,67,46,45,43,40,26,41,56,34,35,35,41,43,18,52,19,51,36,47,49,26,26,30,59,70,60,60,35,49,60,89,60,71,74,73,54,69,54,55,61,59,73,74,74,49,58,39,39,39,36,29,51,44,47,48,51,30,28,30,42,29,27,41,47,47,27,37,68,51,45,32,45,45,45,79,55,80,55,29,47,47,71,27,26,53,52,32,32,48,52,75,73,63,65,66,39,40,58,76,65,75,75,52,50,58,61,59,48,34,34,37,29,29,30,34,31,39,25,33,37,42,26,42,44,52,34,27,32,24,32,39,41,40,34,37,28,38,41,36,28,37,33,43,34,29,31,26,28,28,26,27,24,34,33,32,38,34,55,48,48,48,29,21,21,30,29,29,34,32,29,30,45,31,47,70,44,65,27,41,27,27,27,1,0,27,31,31,37,36,32,32,28,30,28,28,28,32,33,28,43,25,34,53,68,51,51,28,28,29,26,25,26,26,33,26,27,28,29,26,27,43,29,25,25,24,26,24,26,26,24,56,48,24,24,26,25,28,24,29,30,25,27,26,27,25,25,26,26,27,27,26,27,26,27,30,26,24,27,26,26,25,28,28,27,26,25,24,24,25,50,34,55,25,29,28,24,26,28,24,24,24,24,25,28,29,28,26,35,58,29,25,26,26,25,31,28,27,29,27,31,27,24,24,25,24,25,24,25,21,27,22,27,24,24,27,25,25,24,24,26,25,24,24,24,24,32,24,26,25,22,24,26,25,24,24,24,25,24,24,24,24,24
"F154",24,28,28,54,37,48,27,38,36,19,7,20,37,15,24,24,22,24,25,33,24,32,21,30,32,33,35,11,40,51,41,41,16,30,41,74,41,52,57,56,35,50,35,38,42,44,56,55,55,32,43,20,20,20,17,10,34,25,30,29,34,11,9,11,23,10,8,22,36,36,8,20,53,32,26,13,28,28,28,60,46,61,46,10,30,30,52,8,7,34,33,13,13,29,33,58,54,44,46,47,20,21,47,57,46,56,56,33,31,39,42,40,29,17,17,18,10,10,11,15,12,20,6,14,18,23,7,23,25,37,17,8,15,5,13,20,22,21,15,18,9,19,22,19,13,18,14,24,21,12,14,7,9,9,7,8,9,15,14,13,19,15,36,29,31,31,10,10,10,11,10,10,15,13,10,11,26,12,28,51,25,48,8,26,8,8,8,28,27,0,12,12,18,17,13,13,9,11,9,9,9,13,14,9,24,6,15,34,49,32,32,9,9,12,7,6,7,7,14,7,8,9,10,7,8,24,10,6,6,5,7,5,7,7,5,37,29,5,5,7,6,9,5,10,11,6,8,7,8,6,6,7,7,8,8,7,8,7,8,11,7,5,8,7,7,6,9,9,8,7,6,5,5,6,31,15,36,6,10,9,5,7,9,5,5,5,5,6,9,10,9,7,16,39,10,6,7,7,6,12,9,8,10,8,12,8,5,5,6,5,6,5,6,6,10,5,8,11,11,8,6,6,5,5,7,6,5,5,5,5,13,5,7,6,7,5,7,6,5,5,5,6,5,5,5,5,5
"F102",28,32,32,58,41,52,31,42,40,25,11,26,41,19,26,26,26,28,29,37,28,36,21,34,36,37,39,11,44,55,45,45,20,34,45,78,45,56,61,60,39,54,39,42,46,48,60,59,59,36,47,24,24,24,21,14,38,29,34,33,38,15,13,15,27,14,12,26,40,40,12,24,57,36,30,17,32,32,32,64,50,65,50,14,34,34,56,12,11,38,37,17,17,33,37,62,58,48,50,51,20,21,51,61,50,60,60,37,35,43,46,44,33,21,21,20,14,14,15,19,16,22,10,18,22,27,11,27,29,41,21,12,19,9,17,18,24,21,17,22,13,23,26,23,17,22,18,28,25,16,18,11,13,13,11,12,13,19,18,17,19,17,42,33,33,33,14,14,14,15,14,14,19,17,14,15,30,16,32,55,29,52,12,30,12,12,12,32,31,12,0,0,22,21,15,15,13,15,13,13,13,17,16,13,28,10,19,40,53,36,36,13,13,16,11,10,11,11,18,11,12,13,14,11,12,28,14,10,10,9,11,9,11,11,9,41,33,9,9,11,10,13,9,14,15,10,12,11,12,10,10,11,11,12,12,11,12,11,12,15,11,9,12,11,11,10,13,13,12,11,10,9,9,10,35,17,40,10,14,13,9,11,13,9,9,9,9,10,13,12,13,9,16,43,14,10,11,11,10,14,13,12,14,12,16,12,9,9,10,9,10,9,10,10,14,9,12,15,15,12,10,10,9,9,11,10,9,9,9,9,17,9,11,10,11,9,11,10,9,9,9,10,9,9,9,9,9
"HIQQ",28,32,32,58,41,52,31,42,40,25,11,26,41,19,26,26,26,28,29,37,28,36,21,34,36,37,39,11,44,55,45,45,20,34,45,78,45,56,61,60,39,54,39,42,46,48,60,59,59,36,47,24,24,24,21,14,38,29,34,33,38,15,13,15,27,14,12,26,40,40,12,24,57,36,30,17,32,32,32,64,50,65,50,14,34,34,56,12,11,38,37,17,17,33,37,62,58,48,50,51,20,21,51,61,50,60,60,37,35,43,46,44,33,21,21,20,14,14,15,19,16,22,10,18,22,27,11,27,29,41,21,12,19,9,17,18,24,21,17,22,13,23,26,23,17,22,18,28,25,16,18,11,13,13,11,12,13,19,18,17,19,17,42,33,33,33,14,14,14,15,14,14,19,17,14,15,30,16,32,55,29,52,12,30,12,12,12,32,31,12,0,0,22,21,15,15,13,15,13,13,13,17,16,13,28,10,19,40,53,36,36,13,13,16,11,10,11,11,18,11,12,13,14,11,12,28,14,10,10,9,11,9,11,11,9,41,33,9,9,11,10,13,9,14,15,10,12,11,12,10,10,11,11,12,12,11,12,11,12,15,11,9,12,11,11,10,13,13,12,11,10,9,9,10,35,17,40,10,14,13,9,11,13,9,9,9,9,10,13,12,13,9,16,43,14,10,11,11,10,14,13,12,14,12,16,12,9,9,10,9,10,9,10,10,14,9,12,15,15,12,10,10,9,9,11,10,9,9,9,9,17,9,11,10,11,9,11,10,9,9,9,10,9,9,9,9,9
